,scheme,N_dt,result
126,simulate_heston_euler,4,16.116773375387513
127,simulate_heston_euler,4,16.132105586350924
128,simulate_heston_euler,4,16.1152509895201
129,simulate_heston_euler,4,16.102906512730023
130,simulate_heston_euler,4,16.107355045579443
131,simulate_heston_euler,4,16.111555919396825
132,simulate_heston_euler,4,16.1212991123084
133,simulate_heston_euler,4,16.109479379880195
134,simulate_heston_euler,4,16.12781852557159
135,simulate_heston_euler,4,16.119564550151154
136,simulate_heston_euler,4,16.119724693275572
137,simulate_heston_euler,4,16.10798507615659
138,simulate_heston_euler,4,16.084348997785604
139,simulate_heston_euler,4,16.121786889020818
140,simulate_heston_euler,4,16.12226619086119
141,simulate_heston_euler,4,16.10806494309148
142,simulate_heston_euler,4,16.107548654190595
143,simulate_heston_euler,4,16.106819329744074
